"segment"	"thesis"	"first_page"	"last_page"	"pages"	"title"	"summary"	"theatre_logline"	"theatre_cast"	"theatre_setting"	"theatre_action"	"thesis_number"	"thesis_topic"	"duration_pages"
"11"	"1"	"70"	"76"	"7"	"Debatte über das Urteil der Kirche über die Schrift"	"Konrad Treiger argumentiert für die sichtbare Kirche als notwendige Richterin bei Glaubensspaltungen und bei der Beurteilung des biblischen Kanons. Wolfgang Capito entgegnet, dass die christliche Gemeinde zwar über Sünder richten dürfe, die vom Geist Gottes stammende Schrift jedoch nicht eigenmächtig verurteilen könne. Nachdem Treiger bekräftigt, dass einzelne Kirchen irren können und ein unfehlbares Urteil nötig sei, stellt Martin Bucer klar, dass kein Konzil Beschlüsse neben oder über der Schrift fassen dürfe."	"Konrad Treiger, Martin Bucer, Wolfgang Capito (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über das Urteil der Kirche über die Schrift."	"Augustinerprovinzial; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"7"
"12"	"1"	"77"	"84"	"8"	"Bucer und Treiger über Schriftauslegung und Einheit"	"Martin Bucer argumentiert, dass jeder gläubige Christ die Heilige Schrift durch den Geist Gottes verstehen könne und die Gemeinde die eigentliche kirchliche Instanz bilde. Konrad Treiger entgegnet, die Schriftauslegung dürfe nicht dem Einzelnen überlassen werden, da dies zur Spaltung der Kirche führe. Zum Beleg für diese Zerrissenheit verweist Treiger auf die heftigen Lehrstreitigkeiten zwischen Luther, Zwingli und anderen reformatorischen Gruppen."	"Konrad Treiger, Niclaus Christen, Martin Bucer u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Bucer und Treiger über Schriftauslegung und Einheit."	"Augustinerprovinzial; Sänger von Zoffingen; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Schlagabtausch: Antwort und Gegenrede wechseln sich ab."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"8"
"13"	"1"	"85"	"88"	"4"	"Kircheneinheit, Konzilien und Schriftautorität"	"Ein altgläubiger Sprecher warnt die Berner vor Glaubensspaltungen, wie sie durch Luther und Zwingli drohten, und mahnt zum Festhalten an Konzilien sowie der allgemeinen Kirche. Am folgenden Verhandlungstag weist Martin Bucer diese Vorwürfe zurück und kritisiert, dass der gegnerische Provinzial seine Argumente ohne biblische Schriftbelege vorgebracht habe. Zugleich bekräftigt Bucer, dass jede Gemeinde die Schrift prüfen dürfe, sich die Kirche jedoch niemals über die Schrift stellen könne."	"Niclaus Christen, Martin Bucer, Wolfgang Capito (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Kircheneinheit, Konzilien und Schriftautorität."	"Sänger von Zoffingen; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"4"
"14"	"1"	"89"	"94"	"6"	"Replik auf den Provinzial zu Glauben und Spaltung"	"Ein reformierter Redner weist die Vorwürfe des Provinzials zurück und bekräftigt, dass die Reformatoren keinen neuen Glauben predigen, sondern das ursprüngliche Evangelium Christi vertreten. Bezüglich der Differenzen mit Luther im Sakramentsverständnis plädiert er für gegenseitige Duldung und lehnt parteiische Benennungen nach Zwingli oder Ökolampad entschieden ab. Zugleich kritisiert er, gestützt auf eigene Erfahrungen im Predigerorden, päpstliche Sonderlehren und Ordensprivilegien als die eigentliche Ursache für Spaltungen in der Christenheit."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Replik auf den Provinzial zu Glauben und Spaltung."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 6 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"6"
"15"	"1"	"95"	"103"	"9"	"Zurückweisung des Provinzials und Zwinglis Replik"	"Ein Strassburger Prediger weist die Einreden des Provinzials zurück und betont, dass wahrer Glaube allein durch das Wort Gottes und den Heiligen Geist im Herzen jedes Einzelnen begründet wird und nicht durch Konzilien oder das Papsttum. Zudem legt er dar, dass nach biblischem Zeugnis jede einzelne christliche Versammlung zur Urteilsfindung ermächtigt ist und lehrmässige Differenzen zwischen reformierten Kirchen das Heil der Gläubigen nicht gefährden. Schliesslich ergreift Ulrich Zwingli das Wort, um die Zürcher Obrigkeit gegen den Vorwurf zu verteidigen, sie sei von ihm verführt worden."	"Niclaus Christen, Ulrich Zwingli (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Zurückweisung des Provinzials und Zwinglis Replik."	"Sänger von Zoffingen; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 9 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"9"
"16"	"1"	"104"	"107"	"4"	"Streit über die Redefreiheit des Provinzials"	"Als der Provinzial Konrad Treger den Konflikt mit den Strassburger Reformatoren Martin Bucer und Wolfgang Capito thematisieren will, verweisen die Präsidenten darauf, dass ausschliesslich über die bernischen Schlussreden verhandelt werden darf. Treger protestiert gegen die angebliche Redeeinschränkung und droht mit dem Abbruch der Disputation, woraufhin die Präsidenten Konrad Schmid und Niklaus Brieser betonen, dass ihm die schriftbasierte Argumentation weiterhin freistehe. Bucer und Capito weisen die Vorwürfe des Provinzials ebenfalls zurück und fordern ihn auf, ihre Thesen allein anhand der Heiligen Schrift zu widerlegen."	"Konrad Treiger, Niclaus Christen, Konrad Schmid u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Streit über die Redefreiheit des Provinzials."	"Augustinerprovinzial; Sänger von Zoffingen; Berner Präsident; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"4"
"17"	"1"	"108"	"114"	"7"	"Streit über Kirchengewalt und Christus als einziges Haupt"	"Der Pfarrer von Appenzell verteidigt eine den Aposteln und Hirten verliehene Vollmacht und argumentiert, Amtsträger könnten analog zum Gleichnis vom Licht der Welt teilhaftig als Häupter der Kirche gelten. Berchtold Haller hält dagegen, dass kirchliche Ämter reiner Dienst und keine Herrschaft seien und die Schrift allein Christus als heilschaffendes Haupt der Kirche kenne. Ulrich Zwingli schaltet sich ein und veranschaulicht anhand des Sonnenlichts, dass jede Erleuchtung der Apostel allein von Christus als dem wahren Licht herrührt."	"Niclaus Christen, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Streit über Kirchengewalt und Christus als einziges Haupt."	"Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"7"
"18"	"1"	"115"	"118"	"4"	"Debatte über Christus als Haupt und Zoffinger Votum"	"Der Pfarrer von Appenzell anerkennt Christus zwar als Erlöser und Haupt, besteht jedoch weiterhin auf einer von Gott auf Erden verordneten geistlichen Gewalt. Zwingli interpretiert dieses Zugeständnis als Einlenken, worauf der Pfarrer am folgenden Tag feierlich protestiert und betont, er halte treu am überlieferten Kirchenglauben fest. Nach einer kurzen Replik Zwinglis ergreift Niclaus Christen, Sänger von Zoffingen, das Wort, um über seinen bisherigen Glauben Rechenschaft abzulegen."	"Niklaus Senger, Berchtold Haller, Ulrich Zwingli (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über Christus als Haupt und Zoffinger Votum."	"Katholische Seite; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 4 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"4"
"19"	"1"	"119"	"126"	"8"	"Streit um die Schlüsselgewalt Petri"	"Meister Niklaus Senger argumentiert anhand biblischer Stellen dafür, dass Christus die Schlüsselgewalt und das Hirtenamt Petrus persönlich und besonders verliehen habe. Berchtold Haller und Ulrich Zwingli erwidern, Petrus habe stellvertretend für alle Apostel geantwortet und Christus habe allen Jüngern dieselbe Vollmacht übertragen. Schliesslich schaltet sich Meister Jakob Edlibach ein und erklärt, Hallers biblische Begründung habe ihn noch nicht überzeugt."	"Jakob Edlibach, Niklaus Senger, Berchtold Haller u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Streit um die Schlüsselgewalt Petri."	"Katholische Seite; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"8"
"20"	"1"	"127"	"127"	"1"	"Debatte über die Schlüsselgewalt des Petrus"	"Die Gegenseite argumentiert, dass Christus Petrus durch den Auftrag, seine Schafe zu weiden, eine besondere Schlüsselgewalt übertragen habe, während den übrigen Aposteln die Vollmacht zur Sündenvergebung gemeinsam verliehen worden sei. Berchtold Haller entgegnet Meister Jacob, dass sich die Verheissung an alle Apostel richte, da auch die anderen denselben Glauben an Christus bekannten. Haller betont zudem, dass die Aufgabe eines Hirten und das Weiden der Schafe allen Predigern zustehe."	"Niclaus Christen, Berchtold Haller (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über die Schlüsselgewalt des Petrus."	"Sänger von Zoffingen; Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Schlagabtausch: Antwort und Gegenrede wechseln sich ab."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"1"
"21"	"1"	"128"	"137"	"10"	"Debatte über Kirchenleitung und das Wort Gottes"	"Jacob Edlebach und Niclaus Senger verteidigen eine hierarchische Leitungsordnung der Kirche sowie die Geltung überlieferter apostolischer Gebräuche neben der Schrift. Berchtold Haller und Ökolampad halten dem entgegen, dass allein Christus das Haupt der Kirche sei und die Schrift keine geistlichen Herrscher kenne. Zudem erwidert Haller auf Sengers Nachfragen, dass das lebendig machende Wort Gottes im Herzen mit dem biblisch gepredigten Wort vollkommen übereinstimmt."	"Jakob Edlibach, Niclaus Christen, Niklaus Senger u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über Kirchenleitung und das Wort Gottes."	"Katholische Seite; Sänger von Zoffingen; Berner Prädikant"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"10"
"22"	"1"	"138"	"147"	"10"	"Debatte über Christus als Haupt und Sengers Rückzug"	"Zwingli und Berchtold Haller weisen Niclaus Sengers Versuche zurück, ungeschriebene Traditionen und menschliche Amtsträger als Häupter der Kirche neben Christus biblisch zu rechtfertigen. In der weiteren Auseinandersetzung über das Verhältnis Christi zur Kirche vor und nach seiner Menschwerdung beharrt Haller darauf, dass allein Christus das lebendig machende Haupt ist. Schliesslich zieht sich Senger von der Disputation zurück, da die Lehrmeinungen der Kirchenväter nicht als Argumente zugelassen sind, was Haller als Sieg der Schrift wahrnimmt."	"Niclaus Christen, Niklaus Senger, Berchtold Haller u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über Christus als Haupt und Sengers Rückzug."	"Sänger von Zoffingen; Katholische Seite; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 10 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"10"
"23"	"1"	"148"	"155"	"8"	"Debatte über das Haupt der Kirche und geistliche Gewalt"	"Daniel Schatt und Ulrich Zwingli streiten darüber, inwiefern Christus nach beiden Naturen und innerhalb der Trinität als das einzige Haupt der Kirche bezeichnet werden kann. Gilg Durer verteidigt die Notwendigkeit einer geistlichen Obrigkeit und vergleicht das Verhältnis von Christus und Petrus mit Mose und Aaron, worauf Berchtold Haller erwidert, dass geistliche Gewalt reiner Dienst sei und Mose wie Aaron allein auf Christus hinwiesen. Schliesslich verteidigt Jacob Edlibach die Bezeichnung Christi als einverleibtes Haupt und bestimmt den Papst als ein vorgesetztes Haupt der Kirche."	"Daniel Schatt, Gilg Durer, Jakob Edlibach u.a. (Reformierte und katholische Theologen) christus allein als haupt der kirche — keine menschliche oberhoheit: Debatte über das Haupt der Kirche und geistliche Gewalt."	"Katholische Seite; Sänger von Zoffingen; Berner Prädikant; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"8"
"24"	"1"	"156"	"159"	"4"	"Streit um Petri Vorrang und Beginn der 2. Schlussrede"	"Martin Bucer weist die Argumente von Meister Jacob zurück und betont, dass Petrus kein übergeordnetes Oberhaupt war und jede christliche Gemeinde eigenständig nach Gottes Wort urteilen darf. Zudem erklärt Bucer, dass die Berner Kirche allein der Heiligen Schrift verpflichtet sei und der Papst nicht den Geist der Apostel besitze. Daraufhin eröffnet Franz Kolb die zweite Schlussrede mit der These, dass die Kirche keine Gesetze ohne Grundlage in Gottes Wort erlassen dürfe."	"Berchtold Haller, Franz Kolb, Martin Bucer (Die reformierte Seite) christus allein als haupt der kirche — keine menschliche oberhoheit: Streit um Petri Vorrang und Beginn der 2. Schlussrede."	"Berner Prädikant; Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein Verhandlungsabschnitt von 4 Seiten."	"1"	"Christus allein als Haupt der Kirche — keine menschliche Oberhoheit"	"4"
"25"	"2"	"160"	"163"	"4"	"Schriftprinzip und mündliche Überlieferung"	"Zur Eröffnung des zweiten Artikels wird dargelegt, dass kirchliche Satzungen in Heilsfragen allein auf Gottes Wort beruhen dürfen und menschliche Gebote abzulehnen sind. Johannes Büchstab widerspricht dem und argumentiert anhand verschiedener Bibelstellen, dass Christus und die Apostel auch nicht schriftlich fixierte Lehren weitergegeben hätten. Martin Bucer entgegnet, dass alle mündlichen Worte Christi inhaltlich mit der Heiligen Schrift übereinstimmen, woraufhin Büchstab erneut auf mündliche apostolische Traditionen beharrt."	"Martin Bucer (Die reformierte Seite) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Schriftprinzip und mündliche Überlieferung."	"Reformator, Strassburg"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"4"
"26"	"2"	"164"	"170"	"7"	"Schriftprinzip, Marias Jungfräulichkeit und Kirchenbräuche"	"Johannes Buchstab fordert den Nachweis zentraler Glaubensartikel allein aus der Schrift, worauf Martin Bucer darlegt, dass diese Lehren sowie kirchliche Ordnungen wie die Sonntagsfeier aus der biblischen Botschaft hervorgehen. Ulrich Zwingli schaltet sich ein, um die ewige Jungfräulichkeit Marias anhand alttestamentlicher Prophetien und des Evangeliums gegen altgläubige Vorwürfe zu verteidigen. Während Buchstab kirchliche Bräuche wie Fasttage und Prozessionen auf paulinische Ermahnungen stützen will, verwirft Bucer derartige Satzungen als schriftwidrige Gewissenszwänge."	"Johannes Buchstab, Niclaus Christen, Berchtold Haller u.a. (Reformierte und katholische Theologen) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Schriftprinzip, Marias Jungfräulichkeit und Kirchenbräuche."	"Katholische Seite; Sänger von Zoffingen; Berner Prädikant; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Eine Partei verteidigt ihre Position mit theologischen Argumenten."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"7"
"27"	"2"	"171"	"177"	"7"	"Streit um kirchliche Satzungen und Gewissensfreiheit"	"Johannes Buchstab und Theobald Huter verteidigen die Befugnis der Kirche, verbindliche Satzungen, Feiertage und Riten aufzustellen. Martin Bucer erwidert, dass apostolische Ordnungen allein der christlichen Liebe dienten und das Gewissen der Gläubigen nicht binden dürften. Ulrich Zwingli stellt klar, dass einzelne Kirchgemeinden bei Notfällen zwar freiwillig Gebete oder Fastentage beschliessen können, dies aber keine allgemeinen Gesetze begründe."	"Niclaus Christen, Martin Bucer, Ulrich Zwingli (Reformierte und katholische Theologen) ob und wieweit die kirche satzungen ohne schriftgrundlage erlassen darf: Streit um kirchliche Satzungen und Gewissensfreiheit."	"Sänger von Zoffingen; Reformator, Strassburg; Reformator, Zürich"	"Barfüsserkloster Bern — Verhandlungen im Langschiff"	"Ein heftiger Widerspruch durchbricht die Verhandlung."	"2"	"Ob und wieweit die Kirche Satzungen ohne Schriftgrundlage erlassen darf"	"7"
